strike,type,T,market,BlackScholes,BS_const,Heston_analytic,Heston_MC
3750.0,P,0.04657534246575343,7.8,7.7999939913541425,8.68024529743741,7.492860757189461,7.362953180484979
3800.0,P,0.04657534246575343,16.0,16.00002233224393,18.403109417131873,16.692149998337797,16.50163014880052
3850.0,C,0.04657534246575343,65.2,65.2000000349185,69.11545808573919,67.39328425318172,67.37935372856612
3850.0,P,0.04657534246575343,30.2,30.200000042708098,34.56772298699593,32.8455491544388,32.65715066515659
3900.0,C,0.04657534246575343,41.0,40.99999971866396,42.94263841924271,41.884465229513765,41.83689183529446
3900.0,P,0.04657534246575343,54.8,54.7999996157655,58.35951858692988,57.301345397200976,57.160181425421285
3950.0,C,0.04657534246575343,24.8,24.799998314120785,24.484536637416795,24.419539079061625,24.406536390176903
4000.0,C,0.04657534246575343,15.4,15.40005504718738,12.730476933070577,13.466487824994456,13.394780398898307
4050.0,C,0.04657534246575343,9.0,8.99999987919557,6.00878269125684,7.086189891680697,7.023570078605295
3650.0,P,0.1232876712328767,12.2,12.199998545780659,12.132925904826266,11.59367311440777,11.460516446591953
3700.0,P,0.1232876712328767,18.2,18.200011264790874,20.074235977168655,19.007668315949168,18.99925323097982
3750.0,P,0.1232876712328767,28.4,28.400000999650388,31.497750897941728,30.047462071175993,30.086972973894284
3800.0,P,0.1232876712328767,43.2,43.19994939921958,47.06724737427726,45.63250243279733,45.80265726682942
3850.0,C,0.1232876712328767,95.2,95.19999876900374,96.66557147639242,95.80292498812187,95.85055496654613
3850.0,P,0.1232876712328767,62.0,61.999998016412064,67.26183514112631,66.39918865285524,66.5425604939457
3900.0,C,0.1232876712328767,71.8,71.7999999775102,71.7999999775102,72.0115184618037,72.03694471108615
3900.0,P,0.1232876712328767,88.2,88.19999996177876,92.30265275162401,92.51417123591727,92.64775886905996
3950.0,C,0.1232876712328767,52.8,52.80000041654034,51.7152289789517,53.25185510162374,53.24453959258098
3950.0,P,0.1232876712328767,120.0,120.00000095422729,122.12427086244588,123.66089698511752,123.81463997547249
4000.0,C,0.1232876712328767,38.0,37.999957924866294,36.08072743439516,38.87439554147863,38.81640280557205
4000.0,P,0.1232876712328767,155.6,155.60009821097037,156.39615842726926,159.1898265343526,159.34208616770198
4050.0,C,0.1232876712328767,27.6,27.599999552554436,24.363588184838477,28.095232696545214,28.03956277922657
4100.0,C,0.1232876712328767,20.4,20.399984109161778,15.913940367230111,20.14741003042016,20.1631870502096
4150.0,C,0.1232876712328767,15.2,15.199927614796309,10.051915977237684,14.360820554421757,14.373879005315182
4200.0,C,0.1232876712328767,11.8,11.800000179791937,6.139149616565078,10.188313883168906,10.155674409868217
3600.0,P,0.2191780821917808,25.6,25.600075552766043,20.16811571440519,21.152477440382384,21.161133617774826
3700.0,P,0.2191780821917808,46.4,46.40000000261341,41.16264805606647,41.81666403593339,41.79718130892778
3800.0,P,0.2191780821917808,80.0,80.00000000128784,74.69546866478618,76.10139431477705,76.13443888812998
3900.0,C,0.2191780821917808,97.2,97.2001395694565,95.70857141757256,99.35425090365005,99.40959965306578
4000.0,C,0.2191780821917808,65.0,64.99989850688053,58.114932188066405,64.53160064289763,64.50637508071289
4000.0,P,0.2191780821917808,199.4,199.3999742799556,184.61607597538568,191.03274443021664,191.08615737429827
4100.0,C,0.2191780821917808,43.0,43.00001734064699,32.955183387539364,41.31184509529566,41.30756744210626
4150.0,C,0.2191780821917808,36.2,36.199920873932,24.180914313234894,32.96153982747772,32.99848635247913
4200.0,C,0.2191780821917808,29.8,29.79991536015018,17.438354865535757,26.27401511850195,26.213688458280853
4300.0,C,0.2191780821917808,22.2,22.199944091306463,8.61340358276027,16.676352128104007,16.480608759484493
3500.0,C,0.4684931506849315,372.0,371.99753578541595,389.0640157579078,396.6794937434738,396.47695526734736
3500.0,P,0.4684931506849315,53.0,53.000630152903454,34.59506363786261,42.207792743074194,42.155282227614414
3600.0,P,0.4684931506849315,76.8,76.80081434155181,56.979979138972226,65.94177159852451,65.93460900742514
3700.0,P,0.4684931506849315,108.4,108.40111556762872,88.15798239073638,98.9686165895177,99.09421562995367
3900.0,C,0.4684931506849315,139.0,138.998647199287,137.38327430110303,153.37038393139701,153.2656032881624
3900.0,P,0.4684931506849315,206.4,206.4017145641817,180.02266669856476,196.00671329074927,196.00736361334674
4000.0,C,0.4684931506849315,108.0,107.99890391311192,98.77236265130728,117.30102869262429,117.19238521722431
4100.0,C,0.4684931506849315,85.0,84.99910354668782,69.00596678128045,89.35596172155552,89.18009040839148
4200.0,C,0.4684931506849315,65.6,65.59928462087237,46.857342987947504,67.99808906083778,67.75470789494645
4300.0,C,0.4684931506849315,54.2,54.199271681346886,30.93917251637481,51.79802879792331,51.60774556272133
3500.0,P,0.7178082191780822,81.0,80.99991997397649,62.47624411673678,79.60247807195233,79.3976988150399
3700.0,P,0.7178082191780822,148.6,148.5997609105109,127.52236139789989,150.51503857309206,150.39664619288206
4300.0,C,0.7178082191780822,84.0,84.0000768109561,52.447249130860996,85.34002145984755,85.14459292630927
3500.0,P,0.9671232876712329,113.6,113.59998526733978,89.53052199486422,116.95591607317706,116.84983929924371
4400.0,C,0.9671232876712329,102.4,102.40001304661132,54.620778375326836,97.40408024546241,97.49827894615797
